"country","department","COD","municipality","scale","year","bronchial_emphysema","myocardial","cerebral_infarction","chagas","conduct_cardiac","conjunctivitis","laryngitis","cutaneous_leishmaniasis","malaria","hantavirus","rickettsia","neoplasm_respiratory","acute_resp","chronic_resp","pharyngitis","pneumonia","pulmonary_embolism","tonsillitis"
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2006,0,0,1,0,3,47,6,2,19,0,0,0,277,0,3,1,0,56
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2007,0,3,1,0,2,80,10,2,9,0,0,0,614,0,17,3,0,111
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2008,0,0,1,0,1,147,16,2,10,0,0,0,621,1,19,7,0,210
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2009,0,0,1,0,1,105,11,4,2,0,0,0,790,0,13,3,0,193
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2010,0,1,2,0,5,70,4,3,1,0,0,1,761,0,91,16,0,174
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2011,0,0,2,0,3,89,16,2,1,0,0,0,589,0,97,14,0,148
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2012,0,0,0,0,4,100,3,4,2,0,0,0,797,0,23,4,1,153
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2013,0,0,5,0,6,67,9,2,3,0,0,0,985,0,47,25,0,144
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2014,0,0,5,0,3,51,11,16,1,0,0,0,948,0,69,19,0,149
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2015,0,1,3,0,2,62,16,2,0,0,0,0,660,0,64,12,0,71
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2016,0,1,4,0,2,89,5,12,1,0,0,0,804,0,21,20,0,125
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2018,0,0,5,0,1,51,1,9,0,0,0,0,523,1,20,10,1,83
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2019,0,1,6,0,3,75,21,4,0,0,0,0,710,0,32,24,0,77
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2020,0,0,8,0,2,47,12,9,0,0,0,0,391,0,16,19,1,90
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2021,0,0,4,0,1,61,29,2,1,0,0,0,395,0,28,18,0,51
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2022,0,0,7,0,0,71,49,1,0,0,0,0,591,0,30,16,0,49
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2023,0,2,8,0,0,94,40,1,0,0,0,0,620,0,39,35,1,50
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2006,0,0,0,0,0,19,3,1,0,0,0,0,63,0,1,3,0,14
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2007,0,0,0,0,1,12,0,0,1,0,0,0,25,0,0,0,0,10
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2008,0,0,1,0,0,29,0,0,1,0,0,0,43,0,3,2,0,5
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2009,0,0,0,0,0,15,0,0,1,0,0,0,42,0,1,1,0,7
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2010,0,0,0,0,0,8,0,0,0,0,0,0,42,0,4,0,0,6
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2011,0,0,0,0,1,7,3,0,1,0,0,0,46,0,8,0,0,10
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2012,0,0,0,0,3,24,1,0,0,0,0,0,114,0,29,5,0,6
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2013,0,0,0,0,2,23,1,0,0,0,0,0,137,0,38,8,0,7
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2014,0,0,0,0,0,35,1,0,0,0,0,0,168,0,98,3,0,9
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2015,0,0,0,0,1,26,1,0,1,0,0,0,112,0,44,0,0,13
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2016,0,0,0,0,1,30,18,0,1,0,0,0,126,0,3,2,0,12
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2017,0,0,0,0,1,59,59,0,0,0,0,0,57,0,9,6,0,11
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2018,0,0,0,0,0,21,44,1,0,0,0,0,51,1,13,5,0,12
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2019,0,1,0,0,3,29,69,0,0,0,0,0,68,0,30,5,0,18
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2020,0,0,0,0,3,19,22,0,0,0,0,0,75,0,5,4,0,11
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2021,0,1,0,0,0,10,5,1,0,0,0,0,70,0,4,1,0,6
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2022,0,0,0,0,0,21,2,0,0,0,0,0,80,1,10,1,0,4
"Guiana FR",NA,"GUF.2.2_1","Awala","municipality",2023,0,0,1,0,2,19,4,0,0,0,0,0,106,1,7,2,0,8
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2006,0,1,0,1,1,167,7,8,522,0,0,0,510,0,221,60,0,34
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2007,0,1,1,6,1,190,4,3,338,0,0,0,778,0,74,80,0,66
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2008,0,1,0,4,1,187,2,2,282,0,0,0,841,2,31,58,0,66
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2009,0,0,0,1,0,246,6,5,262,0,0,0,889,1,14,36,0,114
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2010,0,0,0,0,1,120,4,8,90,0,0,0,860,0,32,107,0,80
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2011,0,0,0,0,0,154,2,12,92,0,0,0,784,1,6,63,0,52
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2012,0,0,0,0,3,278,11,10,64,0,0,0,880,0,69,17,0,93
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2013,0,2,0,0,5,105,11,11,63,0,0,0,760,0,35,69,0,105
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2014,0,0,3,1,3,97,10,28,20,0,0,0,700,4,37,40,0,42
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2015,0,0,1,1,3,214,12,13,20,0,0,1,707,2,157,38,0,88
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2016,0,0,4,0,4,118,13,7,15,0,0,0,500,2,80,30,0,39
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2017,0,1,0,0,0,48,6,7,13,0,0,0,294,1,15,22,1,25
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2018,0,2,0,0,4,108,26,8,22,0,0,0,520,1,65,39,0,52
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2019,0,0,1,1,2,78,26,5,7,0,0,0,657,2,39,81,0,63
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2020,0,1,1,0,1,35,10,17,1,0,0,0,258,4,19,13,0,22
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2021,0,0,2,0,1,38,10,10,1,0,0,0,490,4,13,25,0,35
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2022,0,0,1,1,0,44,9,5,2,0,0,0,546,2,23,35,1,59
"Guiana FR",NA,"GUF.1.1_1","Camopi (+Trois sauts)","municipality",2023,0,0,0,0,4,57,13,5,4,0,0,0,444,2,43,48,0,27
"Guiana FR",NA,NA,"Cayenne","municipality",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2008,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2012,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2014,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,NA,"Cayenne","municipality",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2006,0,0,0,1,4,96,13,12,229,0,0,0,410,0,80,13,0,129
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2007,0,1,0,0,1,103,1,13,34,0,0,0,488,0,36,7,0,132
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2008,0,0,2,0,3,101,19,10,11,0,0,0,406,0,6,20,0,57
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2009,0,0,1,2,8,61,6,9,5,0,0,0,324,0,35,29,0,37
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2010,0,0,4,1,4,108,4,3,4,0,0,0,460,1,74,3,0,23
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2011,0,0,2,0,4,87,11,5,3,0,0,0,349,0,75,4,0,35
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2012,0,1,0,0,0,42,4,2,0,0,0,0,364,1,29,5,0,33
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2013,0,0,2,0,2,70,5,4,1,0,0,0,467,1,34,7,0,48
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2014,0,3,8,0,1,101,8,11,3,0,0,1,497,2,17,13,0,46
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2015,0,1,8,0,3,123,12,6,3,0,0,0,420,0,15,9,0,38
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2016,0,0,5,1,3,82,7,14,0,0,0,0,457,2,11,11,0,21
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2017,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2018,0,3,9,0,5,73,13,11,1,0,0,0,442,1,77,17,0,64
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2019,0,1,9,0,2,152,38,9,1,0,0,0,788,3,75,44,2,74
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2020,0,0,11,0,7,117,9,48,1,0,0,0,512,2,38,26,3,59
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2021,1,5,14,0,7,110,4,45,0,0,0,0,364,0,33,29,1,56
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2022,0,1,16,1,11,103,9,14,2,0,0,0,668,1,37,83,2,138
"Guiana FR",NA,"GUF.2.3_1","Grand Santi","municipality",2023,0,3,17,0,3,116,8,19,3,0,0,0,719,3,35,62,0,114
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2006,0,0,0,0,0,42,0,0,1,0,0,0,110,0,2,1,0,25
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2007,0,0,0,0,2,62,5,0,0,0,0,0,247,0,3,2,0,44
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2008,0,0,1,0,3,116,1,3,0,0,0,0,117,0,3,1,0,70
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2009,0,0,2,0,8,83,0,2,1,0,0,0,143,0,3,10,0,85
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2010,0,0,0,0,1,83,27,6,0,0,0,0,486,1,11,3,0,88
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2011,0,1,0,0,2,76,27,0,3,0,0,0,484,0,4,2,0,82
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2012,0,0,1,0,3,56,44,4,0,0,0,0,499,1,4,0,0,65
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2013,0,0,1,0,3,59,30,2,1,0,0,0,471,0,3,0,0,108
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2014,0,0,1,0,5,74,45,4,1,0,0,0,414,0,5,0,0,145
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2015,0,0,0,0,5,85,36,0,0,0,0,0,453,0,1,0,0,123
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2016,0,0,0,0,2,54,31,3,0,1,0,0,432,0,1,0,0,82
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2017,0,0,0,0,0,25,25,0,1,0,0,0,166,1,1,1,0,24
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2018,0,0,0,0,4,48,57,3,0,0,0,0,396,1,6,3,0,103
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2019,0,0,0,0,1,69,39,0,0,0,0,1,397,1,0,0,0,130
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2020,0,0,2,0,0,51,29,0,0,0,0,0,272,0,3,3,0,90
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2021,0,0,0,0,0,22,23,1,0,0,0,0,178,0,6,0,0,72
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2022,0,0,1,0,0,32,38,0,0,0,0,0,383,0,20,2,0,63
"Guiana FR",NA,"GUF.1.2_1","Iracoubo","municipality",2023,0,0,4,0,1,34,17,0,2,0,0,0,370,2,3,12,0,50
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2008,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2009,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2010,NA,NA,NA,NA,NA,NA,NA,3,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2011,NA,NA,NA,NA,NA,NA,NA,3,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2012,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2013,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2014,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2015,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.3_1","Kourou","municipality",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.4_1","Macouria","municipality",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.4_1","Macouria","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.4_1","Macouria","municipality",2008,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.4_1","Macouria","municipality",2009,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.4_1","Macouria","municipality",2010,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.4_1","Macouria","municipality",2011,NA,NA,NA,NA,NA,NA,NA,4,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.4_1","Macouria","municipality",2012,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.4_1","Macouria","municipality",2013,NA,NA,NA,NA,NA,NA,NA,7,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"Guiana FR",NA,"GUF.1.4_1","Macouria","municipality",2014,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA
